"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1002","GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT","0.125858123569794","0.689821102340492","0.130105630751129","0.551969670984825","1.19623089990164","160","c(""IL1B"", ""ITGB1"", ""HIF1A"", ""GREM1"", ""AKT3"", ""ITGA5"", ""SASH1"", ""SERPINE1"", ""BTG1"", ""PDCD6"", ""HSPB1"", ""PRKCA"", ""SPHK1"", ""RUNX1"", ""IL1A"", ""VEGFA"", ""NFE2L2"", ""PIK3CD"", ""HIPK2"", ""NRP1"", ""EMC10"", ""TGFBR2"", ""CYP1B1"", ""JAK1"", ""TJP1"", ""ECM1"", ""SIRT1"", ""SEMA5A"", ""ABL1"", ""MTDH"", ""ADAM12"", ""WARS2"", ""FLT1"", ""GAB1"", ""HIPK1"", ""PRKD2"", ""PDCL3"", ""WNT5A"", ""BRCA1"", ""DLL1"", ""PLCG1"", ""HGF"", ""JCAD"", ""VEGFC"", ""C5"", ""PAK4"", ""ADM2"")"
"1003","GOBP_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT","0.125706214689266","0.689821102340492","0.14641623786055","0.78431176298086","1.26885156320066","15","c(""TPR"", ""KHDRBS1"", ""CPSF6"", ""IWS1"", ""RIPK1"", ""NUP153"", ""NSUN2"", ""SETD2"")"
"1004","GOBP_RESPONSE_TO_PURINE_CONTAINING_COMPOUND","0.125866050808314","0.689821102340492","0.130777137971974","0.559491306825888","1.19774664215019","141","c(""STC1"", ""IL1B"", ""HDAC2"", ""PRKAA1"", ""KDM1A"", ""APP"", ""ITPR2"", ""SDC1"", ""SSH1"", ""RAP1B"", ""AKAP9"", ""PKD2"", ""P2RX5"", ""ZFP36L1"", ""NT5E"", ""AREG"", ""CYP1B1"", ""RAP1A"", ""BCKDHB"", ""PPARGC1B"", ""ENPP1"", ""CREB1"", ""VGF"", ""TAF1"", ""ATF1"", ""COL1A1"", ""WT1"", ""PANX1"", ""TRPC3"", ""PNPT1"", ""STAT1"", ""FOSB"", ""CHEK1"", ""ADA"", ""EEF2K"", ""PIK3CG"", ""TMEM38B"", ""P2RY1"", ""THBD"", ""CITED1"", ""SLC26A3"")"
"1005","GOBP_RESPONSE_TO_STARVATION","0.125689084895259","0.689821102340492","0.127505315300183","0.535075963035095","1.18181903725037","202","c(""EIF2S1"", ""UPP1"", ""PRKAA1"", ""IGF1R"", ""PLIN3"", ""MAPK1"", ""CDKN1A"", ""USP33"", ""IFI16"", ""TBC1D5"", ""WDR59"", ""STK24"", ""AKR1C3"", ""NFE2L2"", ""PLIN2"", ""MAPK8"", ""TNRC6A"", ""PMAIP1"", ""TP53"", ""FOXK2"", ""OXCT1"", ""PIK3C3"", ""ACADM"", ""EIF2AK2"", ""WRN"", ""SH3GLB1"", ""XPR1"", ""MTOR"", ""SLC7A5"", ""EIF2AK1"", ""SIRT1"", ""FNIP1"", ""PRKAA2"", ""FOXO3"", ""PPM1D"", ""FBXO22"", ""ATG7"", ""ATG14"", ""PEX2"", ""IMPACT"", ""MTMR3"", ""SZT2"", ""CLEC16A"", ""GNPAT"", ""MIOS"", ""DDIT3"", ""CBL"", ""MAPK3"", ""HNRNPA1"", ""RPTOR"", ""BCL2"", ""EIF2AK4"", ""GCN1"", ""ITFG2"", ""FOXO1"", 
""DAPL1"", ""FOXK1"", ""SLC2A1"", ""MYBBP1A"", ""BMPR2"", ""MAP3K5"", ""RALB"", ""RRAGB"", ""AMBRA1"", ""RIPOR1"", ""RRAGD"", ""GABARAPL2"", ""ULK2"", ""SESN2"", ""FAS"", ""MYH13"", ""SESN3"", ""PRKD1"")"
"1006","GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE","0.126373626373626","0.691914447381644","0.143758989039275","0.732526380547269","1.26531863835849","24","c(""GLS"", ""PBX3"", ""MECP2"", ""SLC5A3"", ""PASK"", ""MTG2"", ""NTSR1"", ""MTG1"", ""FTO"", ""TSHZ3"", ""NLGN2"")"
"1007","GOBP_ARTERY_DEVELOPMENT","0.127403846153846","0.695408332779587","0.132846300606183","0.577574709023578","1.19762579914772","100","c(""AKT3"", ""ADAMTS6"", ""RBPJ"", ""FKBP10"", ""PKD2"", ""VEGFA"", ""CHD7"", ""HECTD1"", ""LUZP1"", ""PRRX1"", ""NRP1"", ""ARID2"", ""TGFBR2"", ""PLXND1"", ""HES1"", ""GLI3"", ""NF1"", ""SUFU"", ""ROBO1"", ""DDIT3"", ""SIX1"", ""SNX17"", ""CNTRL"", ""SRF"", ""TGFBR1"", ""EFEMP2"", ""TBX1"", ""ACVR2B"", ""FOXF1"", ""DCTN5"", ""PRDM1"", ""BMPR2"", ""SEC24B"", ""EFNB2"", ""EDNRA"", ""NDST1"", ""AP2B1"")"
"1008","GOBP_CYTOKINESIS","0.12751677852349","0.695408332779587","0.127505315300183","0.538197118562888","1.17852871341989","184","c(""ANK3"", ""SEPTIN2"", ""BIRC6"", ""SEPTIN7"", ""ACTR3"", ""ACTR2"", ""IGF1R"", ""EXOC5"", ""MYH9"", ""EXOC2"", ""SNX9"", ""PKN2"", ""CALM1"", ""TTC19"", ""ROCK2"", ""EXOC6B"", ""AHCTF1"", ""EXOC4"", ""SPTBN1"", ""MITD1"", ""BRCA2"", ""PRPF40A"", ""USP8"", ""STAMBP"", ""KIF20B"", ""PIK3C3"", ""KIF14"", ""MYO19"", ""SH3GLB1"", ""PDCD6IP"", ""VPS4A"", ""RHOC"", ""CHMP2A"", ""CECR2"", ""RHOA"", ""CUL3"", ""SPIRE1"", ""ENTR1"", ""BIN3"", ""CCP110"", ""ANLN"", ""MYH10"", ""SEPTIN10"", ""UVRAG"", ""FMN2"", ""CHMP2B"", ""RASA1"", ""ROCK1"", ""EXOC7"", ""PKP4"", ""APC"", ""CUL7"", ""EXOC1"", ""SETD2"", ""NUSAP1"", 
""VPS4B"", ""CDCA8"", ""CHMP5"", ""SEPTIN9"", ""SON"", ""CHMP4C"", ""CENPA"")"
"1009","GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY","0.12751677852349","0.695408332779587","0.127505315300183","0.533151263912329","1.16968290605319","189","c(""YAP1"", ""PARP1"", ""NCOR1"", ""KDM1A"", ""RBFOX2"", ""UBR5"", ""PTPN11"", ""UBE3A"", ""LATS2"", ""NCOA4"", ""YWHAH"", ""NCOR2"", ""SAFB"", ""DDX17"", ""CLOCK"", ""RNF6"", ""PAK1"", ""GHR"", ""SMARCA4"", ""NR3C1"", ""WBP2"", ""FKBP4"", ""ABHD2"", ""TAF7"", ""STRN3"", ""DDX5"", ""RHOA"", ""SIRT1"", ""PPARGC1B"", ""UFSP2"", ""KANK2"", ""ZBTB7A"", ""BMP7"", ""PIAS2"", ""UFL1"", ""MED1"", ""THRB"", ""APPL2"", ""LATS1"", ""LANCL2"", ""KDM4C"", ""PPARG"", ""NEDD4"", ""PRCP"", ""RXRB"", ""BRCA1"", ""TADA3"", ""ASIP"", ""JAK2"", ""UFM1"", ""PLPP1"", ""EP300"", ""PKN1"", ""PRMT2"", ""KDM3A"")"
"1010","GOBP_MHC_CLASS_II_BIOSYNTHETIC_PROCESS","0.127450980392157","0.695408332779587","0.144630528034484","0.750675322613116","1.26294252910852","20","c(""HDAC2"", ""TAF7"", ""NFX1"", ""RFXANK"", ""SIRT1"", ""RFX5"", ""JAK2"")"
"1011","GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_FOLD","0.127747252747253","0.695766268693207","0.142901149386948","0.731309281752234","1.26321630070761","24","c(""HIF1A"", ""EGFR"", ""LUZP1"", ""CECR2"", ""BMP7"", ""OVOL2"", ""CTNNB1"", ""WNT5A"")"
