"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"4905","GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","0.811764705882353","0.912508463070483","0.0472587336673259","0.342822600137079","0.870856281761917","169","c(""AKAP12"", ""ZBTB20"", ""PLCG2"", ""APP"", ""PTPRJ"", ""RARA"", ""THBS1"", ""IL27RA"", ""ARHGEF2"", ""LY96"", ""RIPK2"", ""DDT"", ""FOXP1"", ""ARRB2"", ""PIK3R1"", ""TICAM1"", ""LPL"", ""ARG2"", ""TSPO"", ""PSEN1"", ""GAS6"", ""DICER1"", ""NOD1"", ""IFNGR1"", ""SELENOK"", ""ANGPT1"", ""TLR4"", ""IL1A"", ""TNFAIP3"", ""CD47"", ""LRRK2"", ""SETD4"", ""CD274"", ""ARFGEF2"")"
"4906","GOMF_METAL_CATION_MONOATOMIC_CATION_ANTIPORTER_ACTIVITY","0.812274368231047","0.912508463070483","0.0504983044100709","0.381300335317479","0.792376086975798","39","c(""SLC3A2"", ""TMCO3"", ""SLC9A7"", ""SLC30A6"", ""SLC24A1"", ""SLC9A5"", ""SLC9B2"", ""SLC8B1"", ""SLC9A1"", ""SLC11A1"", ""SLC9A8"", ""SLC9A9"", ""SLC38A3"", ""SLC24A5"", ""SLC41A3"", ""SLC9A2"", ""SLC4A10"", ""SLC24A2"")"
"4907","GOBP_MESONEPHRIC_TUBULE_MORPHOGENESIS","0.81303602058319","0.912615121534993","0.0481183992657975","0.361223413909033","0.816936583369631","67","c(""GREM1"", ""VEGFA"", ""CITED1"", ""DLG1"", ""MAGED1"", ""HS2ST1"", ""GREB1L"", ""HOXB7"", ""MYC"", ""PAX2"", ""LHX1"", ""WT1"", ""GZF1"", ""ADAMTS16"", ""FMN1"", ""KIF26B"", ""PBX1"", ""SIX1"")"
"4908","GOBP_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS","0.813397129186603","0.912834431043156","0.0636424081651019","-0.344190282559615","-0.872860410836074","123","c(""TYMS"", ""ATIC"", ""GAMT"", ""CKB"", ""DHFR"", ""MTHFD1"", ""ICMT"", ""GOT2"", ""SLC25A32"", ""SERINC1"", ""ALDH7A1"", ""GGH"", ""PARK7"", ""ABHD12"", ""OSBPL5"", ""PCYOX1L"", ""MTHFS"", ""SLC16A10"", ""MFSD2A"", ""PTDSS1"", ""PLA2G15"", ""PCYOX1"", ""CBS"", ""CRAT"", ""MTHFD1L"", ""ACADM"", ""SHMT1"", ""MBOAT2"", ""GATA3"", ""CPT2"")"
"4909","GOBP_GLYCINE_METABOLIC_PROCESS","0.813868613138686","0.912957871112365","0.0509082865515105","0.442697559487425","0.7562375695647","15","c(""PHGDH"", ""SHMT2"", ""GART"")"
"4910","GOBP_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH","0.814004376367615","0.912957871112365","0.0593487680335629","-0.405908057718585","-0.770023437919887","20","c(""YBX3"", ""CAV1"", ""MUTYH"", ""NDUFC2"", ""RBCK1"", ""BOK"")"
"4911","GOCC_PHOTORECEPTOR_INNER_SEGMENT","0.813842482100239","0.912957871112365","0.0635007968065945","-0.354277244883015","-0.830555364283846","69","c(""GUK1"", ""BSG"", ""ASRGL1"", ""REEP6"", ""BBS4"", ""ATP1A1"", ""FAM161A"", ""MYO3A"", ""KIAA0586"", ""CCDC66"", ""DRAM2"", ""PHLPP2"", ""WHRN"")"
"4912","GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING","0.815144766146993","0.913358459755525","0.0601186142531851","-0.387249366623651","-0.789369846011591","31","c(""BAG1"", ""ST13"", ""PTGES3"", ""HSPA8"", ""HSPA9"", ""HSPA13"", ""HSPE1"", ""HSPH1"")"
"4913","GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT","0.81489841986456","0.913358459755525","0.0607719451853533","-0.372305719216114","-0.81258211612007","45","c(""SOX4"", ""ANXA1"", ""SOX9"", ""HES1"", ""GDF11"", ""GSK3A"", ""PDPK1"", ""IL6R"", ""MEN1"")"
"4914","GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE","0.814946619217082","0.913358459755525","0.0496901392724606","0.401766671166484","0.769841886550083","26","c(""REST"", ""RHOA"", ""WASF1"", ""EPHA4"", ""WASF3"", ""RHOB"", ""STAU1"", ""ARHGAP44"", ""ABL1"", ""SPTB"", ""PGRMC1"", ""GRIPAP1"", ""ITPKA"")"
"4915","GOBP_POSITIVE_REGULATION_OF_LIPASE_ACTIVITY","0.815068493150685","0.913358459755525","0.047925896705813","0.362571644975282","0.815315896339931","65","c(""EGFR"", ""ARHGAP6"", ""FLT1"", ""ABL2"", ""RHOA"", ""NR1H2"")"
"4916","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS","0.815347721822542","0.913358459755525","0.0636424081651019","-0.356932201588152","-0.824009344527016","63","c(""DHX9"", ""AXL"", ""PAFAH1B1"", ""AGPAT1"", ""CPNE1"", ""UBE2K"", ""NLRC5"", ""RNF185"", ""ADAM17"", ""MAVS"", ""USP27X"")"
