"BE1_ranks","gene","genetype","ranks"
0.0740719310977797,"ARHGAP22","Nuclear",29085
0.0738851142979359,"MYO10","Nuclear",29084
0.0738716143156399,"MED13L","Nuclear",29083
0.0737578507547722,"RFX7","Nuclear",29082
0.073410492605606,"RIMS2","Nuclear",29081
0.0733255491563437,"PVT1","Nuclear",29080
0.0731297835406706,"SRGAP1","Nuclear",29079
0.073087973857008,"LINC01278","Nuclear",29078
0.0729090421259922,"DYNC1H1","Nuclear",29077
0.0728044711669417,"ST3GAL3","Nuclear",29076
0.0727128606242467,"ZRANB3","Nuclear",29075
0.0724530480494448,"MYO9A","Nuclear",29074
0.0724199795571555,"NAV3","Nuclear",29073
0.0721828841629109,"TNRC6B","Nuclear",29072
0.0716470203124372,"WWOX","Nuclear",29071
0.0715626002443991,"MIR4713HG","Nuclear",29070
0.0714748409894783,"COL6A3","Nuclear",29069
0.0714225494236627,"DLGAP1","Nuclear",29068
0.0714017023578003,"MAPK8","Nuclear",29067
0.0712994575262799,"DPH6","Nuclear",29066
0.0710893402799545,"S100A6","Nuclear",29065
0.0709331273739694,"UST","Nuclear",29064
0.0709112893839112,"NIPBL","Nuclear",29063
0.0708832772298704,"APP","Nuclear",29062
0.0708146247775591,"RELN","Nuclear",29061
0.0707979581850999,"PRTFDC1","Nuclear",29060
0.0705683986291465,"NFAT5","Nuclear",29059
0.0704605680104516,"KIAA1328","Nuclear",29058
0.0703317889357798,"PLCL2","Nuclear",29057
0.0699258893299694,"COA1","Nuclear",29056
0.069832067950509,"WAC","Nuclear",29055
0.0696712769590654,"MAGI1","Nuclear",29054
0.0695561830369628,"GPATCH2L","Nuclear",29053
0.0695150187754979,"ZFPM2","Nuclear",29052
0.0694882326540854,"ADAMTS2","Nuclear",29051
0.0694558382180839,"AEBP1","Nuclear",29050
0.0694163682505628,"ZNF638","Nuclear",29049
0.0692693239518039,"CHCHD3","Nuclear",29048
0.0691398810145587,"BAZ2B","Nuclear",29047
0.0690057467969596,"ITPR2","Nuclear",29046
0.0689191020089916,"HIVEP3","Nuclear",29045
0.0688502420721162,"GLIS3","Nuclear",29044
0.0687852322664268,"LARGE1","Nuclear",29043
0.0687015369937518,"MPP6","Nuclear",29042
0.0686733709703569,"CDK17","Nuclear",29041
0.0686217952622262,"CEP128","Nuclear",29040
0.0684602891700582,"LAMC2","Nuclear",29039
0.0684205720259491,"LRPPRC","Nuclear",29038
0.0683449502028757,"JARID2","Nuclear",29037
0.0683077474372052,"PUM2","Nuclear",29036
0.0682876810915515,"KRAS","Nuclear",29035
