"gene","BE1_ranks","BE2_ranks"
"A1BG",-0.033229986585163,0.0138741746136375
"A1BG-AS1",0.0217264303523172,0.000121340247746473
"A1CF",0.00467111693021215,-0.007621050176814
"A2M",0.0188193423702102,-0.0143726401012158
"A2M-AS1",-0.00570684146925256,0.0160326608154262
"A2ML1",-0.0264019574653403,-0.0116095413518486
"A2ML1-AS1",0.00791999806588984,0.0193734965473814
"A3GALT2",-0.00313984363510191,-0.0126625440857727
"A4GALT",0.0160577605357324,-0.0108166589970547
"AAAS",-0.00761126871975007,-0.0149504333650345
"AACS",0.0249848257211926,0.00640460280710361
"AADAC",-0.00315461197450013,0.0101946292510318
"AADACL2-AS1",-0.017449094227885,0.0151664304897242
"AADAT",0.0128352075024868,-0.00722394967126376
"AAGAB",0.0379637510655704,0.0419233739709114
"AAK1",0.026157324863444,0.00745155048689308
"AAMDC",0.01824714800804,-0.0249727303001074
"AAMP",-0.000783712566809855,-0.0158703053882547
"AANAT",0.00359284726100885,-0.00116730000521064
"AAR2",-0.0217811225827586,-0.0101336577501276
"AARD",0.00603130878277286,-0.0232572235246691
"AARS",0.0316043895178015,0.0131559647456456
"AARS2",-0.0048009882882489,-0.00900210824487653
"AARSD1",0.0138918867693741,0.0467093713135074
"AASDH",0.0214607826005637,-0.00328764704136968
"AASDHPPT",-0.00691946318704402,0.00494133963898799
"AASS",0.0140992571258235,-0.0223313755990218
"AATBC",0.00206441720739783,-0.000586593855953827
"AATF",-0.0012098948135779,0.0242719685539855
"AATK",0.00758059578896036,-0.028978640174652
"ABALON",0.0109764517054347,-0.0114404419390047
"ABAT",0.0221165821275321,0.00726632503549119
"ABCA1",0.0309488937577521,0.0213638139263975
"ABCA10",0.00428318184764425,-0.00014155980846056
"ABCA12",-0.0109636714200746,-0.00706004889396999
"ABCA13",0.0167237648442664,0.0120267614767466
"ABCA2",0.00463981766822927,0.0194514009640678
"ABCA3",0.0406106610568022,0.0205828328143149
"ABCA4",-0.0144069765939378,-0.0163454390317087
"ABCA5",0.0191428901556112,0.0361570178408188
"ABCA6",-0.00414924308855787,0.00215522740226646
"ABCA7",0.0109120955885055,-0.0233558080478712
"ABCA8",-0.00269194573691307,0.0141486914772923
"ABCA9",0.0238116064642621,0.0131418112423959
"ABCA9-AS1",0.0160496052406455,-0.0115905873951307
"ABCB1",-0.0042235780782906,0.00717551573455194
"ABCB10",0.00783147566609459,0.00295507742371084
"ABCB11",0.00388821396913398,0.00436831572523477
"ABCB4",-0.00276928128653644,0.0132518741954344
"ABCB5",-0.00771811331430727,-0.016096833225597
"ABCB6",0.0154890937360296,-0.00313558245626092
"ABCB7",0.034457447136331,0.0173365913500264
"ABCB8",0.023147764905585,0.0206127345430593
"ABCB9",0.0233462459431934,0.0011051932701224
"ABCC1",0.0449243372651574,0.0292454294560268
"ABCC10",0.0175272237237274,-0.00986401166156679
"ABCC11",0.00785739304801708,-0.0132179804837378
"ABCC12",0.00766113166990092,-0.00487866989488045
"ABCC2",0.026027546770869,-0.00202144809869589
"ABCC3",0.00510709177848583,0.0365377934415241
"ABCC4",0.0236577122186784,-0.00309061826946257
"ABCC5",0.0248352406192411,0.00757733418284375
"ABCC5-AS1",0.00931856149350082,-0.00245731491486501
"ABCC6",0.0137582095670691,0.0138189434260857
"ABCC8",-0.0024713779141825,-0.00136024703110383
"ABCC9",0.019513093983908,-0.0204995156851702
"ABCD1",0.0133450710387783,-0.0206489236037803
"ABCD2",0.0024356500363985,-0.00891789092613717
"ABCD3",0.000525796959041891,-0.0162319928126583
"ABCD4",0.0154748871542361,0.0290403123572532
"ABCE1",-0.00836268235744438,0.00849940410804608
"ABCF1",0.00236272750152079,-0.0233566759825218
"ABCF2",0.0245857100342907,0.0249322729839303
"ABCF3",-0.0127332557033787,-0.000662904306834483
"ABCG1",-0.0106146816531153,0.00491907718945287
"ABCG2",-0.000169273106700617,-0.00399299446101305
"ABCG4",0.00896960008218587,-0.0069388586536434
"ABCG5",0.0147182528338086,-0.00713216433580427
"ABCG8",-0.00622313485663618,-0.00815419350826336
"ABHD1",-0.000278236146008652,0.022860648288855
"ABHD10",0.0255368628074413,0.0105945643177499
"ABHD11",0.00464596654649368,-0.0234285632791296
"ABHD12",-0.000487547714489457,-0.00265240821487663
"ABHD12B",-0.00111948587483142,0.0226898576921442
"ABHD13",0.0266354322523063,-0.00200147162745126
"ABHD14A",-0.00960231382980018,-0.000717651359462057
"ABHD14B",-0.00840241390655561,-0.0191955825474665
"ABHD15",0.00497749192165855,-0.0158541786573058
