"BE2_ranks","gene"
0.178696312604168,"S100A6"
0.139327621462859,"DCBLD2"
0.139097771271709,"TPM1"
0.135111614294921,"S100A2"
0.133220528764442,"RPL23A"
0.130935347502577,"FTL"
0.123363368026659,"RPLP1"
0.121760257212243,"RPL4"
0.116331142654644,"EIF1"
0.107675676694167,"FRMD5"
0.10423947140776,"RPL19"
0.10401977682452,"SSB"
0.10189637380892,"MIR4527HG"
0.1002091555927,"MT-ND2"
0.0988665813919065,"PLAU"
0.0987399426981308,"MMP1"
0.0978727824767301,"B2M"
0.0956847487644333,"NECTIN3-AS1"
0.0956724809818824,"PUM3"
0.0922279974637999,"THSD4"
0.0919104916133178,"ITGA3"
0.0901819771532585,"SNHG16"
0.0898806585580806,"COX7C"
0.089868060373344,"TCF12"
0.0898104386062675,"SSBP1"
0.0885402052528305,"PPIB"
0.0881270700598417,"S100A11"
0.088080079066819,"ITGA2"
0.0871819934345103,"ZCCHC7"
0.0859900847772903,"NSRP1"
0.0858377820256054,"WWOX"
0.0854361631220485,"FAM120A"
0.0838424020464965,"PDIA4"
0.0825221007848883,"FTH1"
0.0819504971423827,"RPL23"
0.0812718461257234,"DDX5"
0.0805581960505594,"NUFIP2"
0.0802617227611628,"EXOC4"
0.0797733851430262,"MBD5"
0.0795062080953875,"PTMA"
0.0790329136829977,"COL1A1"
0.0787352771454387,"COL4A2"
0.0786881059733686,"IL1RAPL1"
0.0779145535751572,"RPS6"
0.0778401021284051,"FNDC3B"
0.0777043231371856,"KIF5B"
0.0775841868868748,"EIF5"
0.0769711340198129,"RAI14"
0.0767298534959093,"EGFR"
0.0764403909339876,"PTRH2"
0.0758206999649221,"DYNC2H1"
0.0757587787526617,"POLR3G"
0.0754380128535697,"SIPA1L1"
0.074968917895101,"CALD1"
0.0744252598056305,"TINAGL1"
0.0742959733887611,"ZFAS1"
0.074280609833128,"RAB13"
0.073669215007154,"VPS13C"
0.073187054865941,"FMNL2"
0.0721811573849992,"TENM3"
0.0720825313432309,"DKK1"
0.0719785413466067,"PPIA"
0.0716763472798811,"NF1"
0.071596748699173,"FOCAD"
0.0714030465204705,"MSANTD3"
0.0700973901013104,"S100A10"
0.0700491399397341,"TRAP1"
0.069955257570282,"RAB31"
0.0699433595390039,"MGLL"
0.069700563325432,"CSNK1G1"
0.0694628963858263,"MTX2"
0.0693135284514933,"PRKCA"
0.0693052526103971,"TGFBR2"
0.0691058275887927,"PDIA3"
0.0690063700034858,"SLC7A11"
0.0686975329610182,"IER3"
0.0681197616926498,"TAF15"
0.0678003189732083,"ZNF609"
0.0677044458472117,"ANXA2"
0.0676692102670608,"APOE"
0.0674946246088776,"AEBP1"
0.0672325000934805,"RALBP1"
0.0671429075177421,"GPATCH2L"
0.0669394578334417,"MAP1B"
0.066883283938372,"KPNB1"
0.066281260916712,"RIF1"
0.0662364883957386,"ADAM10"
0.0662266670955248,"SMARCA1"
0.0662083695039415,"PKM"
0.0662019164071775,"SLTM"
0.0658992164375084,"SRSF11"
0.0657492704260217,"CEP192"
0.0653549095832746,"PTPRK"
0.065255675489205,"NQO1"
0.0650539282412108,"CCDC43"
0.0650454215054808,"ITGB1"
0.0649639863491102,"L3MBTL4"
0.0642764455400801,"RAC3"
0.0642515119330473,"SERPINE1"
0.0641718399453899,"RPL12"
0.0641232220780136,"EIF3J"
0.0638627875314671,"RAB34"
0.063776893700681,"SMAD3"
