"BE1_ranks","gene","z","genetype","ranks_sort"
0.0892171091949116,"UNC5C",0.0894549597499979,"Nuclear",4339
0.0892099606119794,"TMEM222",0.0894477538146311,"Nuclear",4338
0.0892073442295928,"DRG1",0.0894451164435611,"Nuclear",4337
0.0892070602783433,"RNF169",0.0894448302145224,"Nuclear",4336
0.0891615907220549,"NLGN1",0.0893989961008396,"Nuclear",4335
0.0891504918060171,"DLGAP4",0.0893878082548549,"Nuclear",4334
0.089070203564424,"TGOLN2",0.0893068773690497,"Nuclear",4333
0.0890606139603038,"OPHN1",0.0892972110857156,"Nuclear",4332
0.0890552365884042,"CBX1",0.0892917907232187,"Nuclear",4331
0.0890447111748286,"MRM3",0.0892811811770254,"Nuclear",4330
0.0890347530960559,"HEATR4",0.0892711435189577,"Nuclear",4329
0.089022330442147,"UHRF1",0.0892586216154239,"Nuclear",4328
0.0889969210824826,"AC010210.1",0.0892330093370147,"Nuclear",4327
0.0889955241154894,"SNX12",0.0892316012172516,"Nuclear",4326
0.0889895981372213,"HDAC8",0.089225627932504,"Nuclear",4325
0.0889877673360255,"WDR13",0.0892237825174932,"Nuclear",4324
0.0889781900533139,"NHSL1",0.0892141287969067,"Nuclear",4323
0.088942480567914,"SCARF2",0.0891781344543906,"Nuclear",4322
0.0889286246085763,"HOMER3",0.0891641680271422,"Nuclear",4321
0.0889268512310065,"FOXJ2",0.0891623805136609,"Nuclear",4320
0.0889232161024367,"NBN",0.089158716410604,"Nuclear",4319
0.0889222329351435,"GPATCH3",0.0891577254071983,"Nuclear",4318
0.0889061025814838,"AC009126.1",0.08914146651514,"Nuclear",4317
0.0888906210678931,"LAMTOR2",0.0891258616777875,"Nuclear",4316
0.0888868641791246,"SDK1",0.0891220748686503,"Nuclear",4315
0.0888844350022444,"AFDN",0.0891196263468349,"Nuclear",4314
0.0888607259529752,"AHR",0.0890957285447041,"Nuclear",4313
0.0888446503591394,"MIR222HG",0.0890795250273359,"Nuclear",4312
0.0888408054459385,"PODXL",0.0890756495246751,"Nuclear",4311
0.0888252177082573,"RAPGEF1",0.0890599378010065,"Nuclear",4310
0.0888200276849721,"SALL1",0.0890547065056346,"Nuclear",4309
0.0888137965478349,"RPA2",0.0890484258236904,"Nuclear",4308
0.0888128564885795,"SETD2",0.0890474782904759,"Nuclear",4307
0.0888088457047919,"AL132780.1",0.0890434356206667,"Nuclear",4306
0.0887970755255387,"TAF3",0.0890315718843947,"Nuclear",4305
0.0887949968137596,"CDCA5",0.0890294766522634,"Nuclear",4304
0.0887679496180894,"KDM5B",0.0890022145727921,"Nuclear",4303
0.088761049320129,"NOA1",0.0889952594746651,"Nuclear",4302
0.0887596273017722,"RPAIN",0.0889938261641178,"Nuclear",4301
0.0887361481025123,"RTN4IP1",0.0889701605702001,"Nuclear",4300
0.0887246959816682,"SFTA1P",0.0889586175703043,"Nuclear",4299
0.0887230827334583,"EPRS",0.088956991521958,"Nuclear",4298
0.0887021743905264,"TMEM177",0.088935917326573,"Nuclear",4297
0.0887013079082929,"PTPRK",0.0889350439727929,"Nuclear",4296
0.088683169515192,"MMGT1",0.0889167617661277,"Nuclear",4295
0.0886620267993762,"RBMS3-AS3",0.0888954514912496,"Nuclear",4294
0.0886521659386216,"GRASP",0.0888855125092944,"Nuclear",4293
0.0886384455464983,"SMIM29",0.0888716834485466,"Nuclear",4292
0.0886321590552581,"USF3",0.0888653471781927,"Nuclear",4291
0.0886108359713548,"GBP3",0.0888438553020402,"Nuclear",4290
0.0886097073776817,"AC015802.6",0.0888427177767687,"Nuclear",4289
0.088592070573976,"TNFRSF11B",0.0888249414266247,"Nuclear",4288
0.0885915183184096,"PRIM2",0.0888243848023896,"Nuclear",4287
0.0885889389185228,"FBXL7",0.0888217849986487,"Nuclear",4286
0.0885783871476147,"ENTPD6",0.0888111497724252,"Nuclear",4285
0.0885699118641594,"TESC",0.0888026074713723,"Nuclear",4284
0.0885664425232393,"GFOD1",0.0887991107006567,"Nuclear",4283
0.0885611483320009,"UBAP2",0.0887937746559066,"Nuclear",4282
0.0885330668548479,"MAPKAPK3",0.0887654712634484,"Nuclear",4281
0.088533001348737,"LARP4B",0.088765405239838,"Nuclear",4280
0.0885202561834898,"AC092718.4",0.0887525594022236,"Nuclear",4279
0.0885177214415325,"CTSZ",0.0887500046421593,"Nuclear",4278
0.0884716098590005,"AC145124.1",0.0887035290953977,"Nuclear",4277
0.0884630460517,"MAPK1",0.0886948977350304,"Nuclear",4276
0.0884398324254256,"ZNF697",0.0886715010612014,"Nuclear",4275
0.0884030056202392,"UBL7",0.088634384062422,"Nuclear",4274
0.0883950963714109,"WDR92",0.0886264125208412,"Nuclear",4273
0.0883887631868017,"EFNA5",0.0886200294645628,"Nuclear",4272
0.0883823141260357,"GMFG",0.0886135296270436,"Nuclear",4271
0.0883699776621699,"DDX54",0.0886010960526952,"Nuclear",4270
0.0883643137136583,"POGLUT3",0.0885953875277254,"Nuclear",4269
0.0883595234669224,"MECOM",0.0885905595852417,"Nuclear",4268
0.0883550341593288,"AP1S2",0.0885860349538111,"Nuclear",4267
0.088302109204916,"VEZT",0.0885326938353625,"Nuclear",4266
0.0882939139463946,"BTBD7",0.088524434180118,"Nuclear",4265
0.0882886292396438,"TERF2IP",0.0885191079535744,"Nuclear",4264
0.0882856523494925,"KIN",0.0885161076774128,"Nuclear",4263
0.0882797820526926,"POTEF",0.088510191269084,"Nuclear",4262
0.0882784158800425,"DNAJC10",0.0885088143659533,"Nuclear",4261
0.0882776710036423,"TUFT1",0.0885080636391292,"Nuclear",4260
0.0882731824021606,"UFL1",0.0885035397852859,"Nuclear",4259
0.0882614586269438,"CCNC",0.0884917239514915,"Nuclear",4258
0.0882574458190828,"ZNF146",0.0884876796395286,"Nuclear",4257
0.0882289601332767,"C21orf91",0.0884589703987998,"Nuclear",4256
0.0882195033699614,"DLGAP5",0.0884494394512103,"Nuclear",4255
0.0881972344285922,"FAM76B",0.0884269958828005,"Nuclear",4254
0.0881919895552435,"HAUS2",0.0884217098934963,"Nuclear",4253
0.0881744633961686,"CIAO2A",0.088404046377953,"Nuclear",4252
0.0881674844155665,"SYP",0.0883970127168207,"Nuclear",4251
0.0881619151527629,"TRIM59",0.0883913998249282,"Nuclear",4250
0.0881578060063226,"RABGAP1L",0.0883872584913767,"Nuclear",4249
0.0881383630062107,"AC118549.1",0.0883676632344562,"Nuclear",4248
0.0881367286363216,"AJ011932.1",0.0883660160690121,"Nuclear",4247
0.0881277032203005,"VPS36",0.0883569200012174,"Nuclear",4246
0.0880940565204272,"SYF2",0.0883230100404395,"Nuclear",4245
0.0880920089228832,"BCL7C",0.0883209464284775,"Nuclear",4244
0.0880820111716315,"PIGW",0.0883108704948187,"Nuclear",4243
0.0880809323024457,"RHOB",0.0883097831899459,"Nuclear",4242
0.0880748709542149,"HAGLROS",0.0883036744518552,"Nuclear",4241
0.0880626060245167,"PCGF2",0.0882913136505122,"Nuclear",4240
0.0880617150171256,"PXMP2",0.0882904156794053,"Nuclear",4239
0.0880291414044463,"OCRL",0.0882575875834073,"Nuclear",4238
0.0880224037001348,"B3GNT4",0.0882507972640575,"Nuclear",4237
0.0880197598640423,"PDPN",0.0882481327843466,"Nuclear",4236
0.088004707020425,"ZNF581",0.0882329624288306,"Nuclear",4235
0.0879924626112187,"CSNK1G2",0.0882206224619945,"Nuclear",4234
0.0879896547783337,"GET3",0.0882177927200407,"Nuclear",4233
0.0879665675295241,"NIFK-AS1",0.0881945253785624,"Nuclear",4232
0.0879489826942259,"DHX40",0.0881768034362126,"Nuclear",4231
0.0879441705055449,"LLPH",0.0881719537370468,"Nuclear",4230
0.087942684863781,"HES4",0.0881704565157035,"Nuclear",4229
0.0879121182763305,"METAP1",0.0881396517697376,"Nuclear",4228
0.087908752634937,"HMBS",0.0881362599152629,"Nuclear",4227
0.0879048252451413,"CPSF7",0.0881323019398019,"Nuclear",4226
0.087903374644049,"AC067930.8",0.0881308400424375,"Nuclear",4225
0.0878889017186148,"MAP4",0.0881162544325026,"Nuclear",4224
0.0878519751172054,"AKR1A1",0.0880790404943103,"Nuclear",4223
0.0877982538431548,"CGGBP1",0.0880249016336395,"Nuclear",4222
0.0877875318312591,"AGTRAP",0.0880140963389403,"Nuclear",4221
0.0877746143215743,"CNIH4",0.0880010785202347,"Nuclear",4220
0.0877718817202896,"GNA12",0.0879983247031492,"Nuclear",4219
0.0877700605850993,"NAMPT",0.0879964894294816,"Nuclear",4218
0.0877570638531473,"EXOSC3",0.0879833918138938,"Nuclear",4217
0.0877303399242132,"CARD8",0.0879564605422497,"Nuclear",4216
0.0877295884890031,"ASPM",0.0879557032787257,"Nuclear",4215
0.0876996036915632,"LMNB1",0.0879254859940163,"Nuclear",4214
0.0876922891036789,"NUP214",0.0879181147167417,"Nuclear",4213
0.087667133821454,"TOE1",0.0878927645492264,"Nuclear",4212
0.0876647058526923,"SH3PXD2A-AS1",0.0878903177762473,"Nuclear",4211
0.0876613075853382,"SERTAD4-AS1",0.0878868931916359,"Nuclear",4210
0.0876606546621922,"HYPK",0.0878862352122821,"Nuclear",4209
0.0876316812396737,"RPUSD4",0.0878570374972723,"Nuclear",4208
0.0875961762469664,"CENPA",0.0878212578528363,"Nuclear",4207
0.0875960272936025,"TMEM248",0.0878211077477042,"Nuclear",4206
0.0875953340007136,"ADNP-AS1",0.0878204090940434,"Nuclear",4205
0.0875806573328611,"RBBP8",0.087805618961366,"Nuclear",4204
0.0875665551838949,"HOXA10-AS",0.0877914078252567,"Nuclear",4203
0.0875644230374178,"SLC39A7",0.0877892592037627,"Nuclear",4202
0.0875528229168939,"C1orf56",0.0877775694637008,"Nuclear",4201
0.087546518134424,"CHAF1B",0.0877712159821454,"Nuclear",4200
0.0875447892060346,"OGFOD1",0.0877694737004886,"Nuclear",4199
0.0875324070883252,"MIB1",0.0877569959658214,"Nuclear",4198
0.0875180211712066,"BCL9",0.0877424989922721,"Nuclear",4197
0.0875173213660053,"DDI2",0.0877417937856515,"Nuclear",4196
